"Temperature","Clay","Moisture","core","datetime","date","time","incub_days","CO2_1_ppm","CO2_2_ppm","CO2C_ug_g_hr"
4,"illite-amended","50% WFPS",4,2016-09-15 09:50:00,2016-09-15,"t7",6,5942,NA,0.0399372191676209
4,"illite-amended","100% WFPS",5,2016-09-15 09:52:00,2016-09-15,"t7",6,1247,NA,0.00837543950835323
4,"illite-amended","100% WFPS",6,2016-09-15 09:53:00,2016-09-15,"t7",6,2666,NA,0.0179061120523414
4,"illite-amended","100% WFPS",7,2016-09-15 09:55:00,2016-09-15,"t7",6,1443,NA,0.00969186785128606
4,"illite-amended","100% WFPS",8,2016-09-15 09:56:00,2016-09-15,"t7",6,1407,NA,0.00945007489033921
4,"non-amended","50% WFPS",9,2016-09-15 09:58:00,2016-09-15,"t7",6,4388,NA,0.0294718753509655
4,"non-amended","50% WFPS",10,2016-09-15 09:59:00,2016-09-15,"t7",6,4423,NA,0.0297069518407749
4,"non-amended","50% WFPS",12,2016-09-15 10:02:00,2016-09-15,"t7",6,4355,NA,0.029229777095876
4,"non-amended","100% WFPS",13,2016-09-15 10:07:00,2016-09-15,"t7",6,3350,NA,0.0224217258057627
4,"non-amended","100% WFPS",14,2016-09-15 10:08:00,2016-09-15,"t7",6,3094,NA,0.0207227553859671
4,"non-amended","100% WFPS",15,2016-09-15 10:09:00,2016-09-15,"t7",6,4159,NA,0.0278558305269028
4,"non-amended","50% WFPS",11,2016-09-15 10:10:00,2016-09-15,"t7",6,4486,NA,0.0299207073853754
4,"non-amended","100% WFPS",16,2016-09-15 10:11:00,2016-09-15,"t7",6,4269,NA,0.0285726410342689
20,"illite-amended","50% WFPS",17,2016-09-15 10:21:00,2016-09-15,"t7",6,13302,NA,0.0931316875087422
20,"illite-amended","50% WFPS",18,2016-09-15 10:22:00,2016-09-15,"t7",6,10971,NA,0.0768115880061954
20,"illite-amended","50% WFPS",19,2016-09-15 10:24:00,2016-09-15,"t7",6,12199,NA,0.0854092208629639
20,"illite-amended","50% WFPS",20,2016-09-15 10:24:00,2016-09-15,"t7",6,14244,NA,0.0998810775401047
20,"illite-amended","100% WFPS",21,2016-09-15 10:26:00,2016-09-15,"t7",6,10874,NA,0.0762501289785944
20,"illite-amended","100% WFPS",22,2016-09-15 10:27:00,2016-09-15,"t7",6,12978,NA,0.0910740763109456
20,"illite-amended","100% WFPS",24,2016-09-15 10:30:00,2016-09-15,"t7",6,10904,NA,0.0765196276848937
