"formula","HC","OC"
"C18H32O4",1.78,0.22
"C20H40O2",2,0.1
"C10H3O9N1S1",0.3,0.9
"C15H7O1N1S3",0.47,0.07
"C13H3O5N3S1",0.23,0.38
"C12H10O8P1",0.83,0.67
"C15H11O3N3S1",0.73,0.2
"C16H15O4N3",0.94,0.25
"C21H15O2N1",0.71,0.1
"C14H23O1N3S2",1.64,0.07
"C15H27O2N3S1",1.8,0.13
"C6H6O5N2S4",1,0.83
"C8H10O7S3",1.25,0.88
"C12H10O10",0.83,0.83
"C9H17O5N1S2P1",1.89,0.56
"C16H10O7",0.62,0.44
"C16H14O1N2S2",0.88,0.06
"C13H17O4N1S1P1",1.31,0.31
"C13H14O9",1.08,0.69
"C9H17O9N1P1",1.89,1
"C10H21O4N1S2P1",2.1,0.4
"C24H10O1",0.42,0.04
"C17H14O6",0.82,0.35
"C14H18O6S1",1.29,0.43
"C10H21O6N1S1P1",2.1,0.6
"C11H22O6S2",2,0.55
"C18H18O3S1",1,0.17
"C14H18O8",1.29,0.57
"C11H25O3N1S2P1",2.27,0.27
"C11H22O8S1",2,0.73
"C18H18O5",1,0.28
"C15H22O5S1",1.47,0.33
"C15H22O7",1.47,0.47
"C16H26O4S1",1.62,0.25
"C16H26O6",1.62,0.38
"C17H30O1S2",1.76,0.06
"C15H26O5N2",1.73,0.33
"C15H26O5N2",1.73,0.33
"C17H30O5",1.76,0.29
"C18H34O4",1.89,0.22
"C14H5O2N1S3",0.36,0.14
"C8H12O7S2P1",1.5,0.88
"C13H5O3N3S2",0.38,0.23
"C12H13O7N1S1",1.08,0.58
"C12H16O4N2S1P1",1.33,0.33
"C12H17O5N3S1",1.42,0.42
"C13H17O8N1",1.31,0.62
"C14H21O7N1",1.5,0.5
"C12H12O4S3",1,0.33
"C18H7O3N1P1",0.39,0.17
"C15H8O8",0.53,0.53
"C15H8O8",0.53,0.53
"C12H15O3N1S2P1",1.25,0.25
"C12H15O5N1S1P1",1.25,0.42
"C12H12O10",1,0.83
"C9H19O5N1S2P1",2.11,0.56
"C16H12O7",0.75,0.44
"C9H19O7N1S1P1",2.11,0.78
"C17H16O4S1",0.94,0.24
"C13H16O9",1.23,0.69
"C10H23O4N1S2P1",2.3,0.4
"C17H16O6",0.94,0.35
"C18H20O1S2",1.11,0.06
"C10H23O6N1S1P1",2.3,0.6
"C18H20O3S1",1.11,0.17
"C14H20O8",1.43,0.57
"C18H20O5",1.11,0.28
"C15H24O5S1",1.6,0.33
"C15H24O7",1.6,0.47
"C16H28O6",1.75,0.38
